### DATA:
#
# 1213
#      Q             I(Q)           Error     
1.19239067E-01  4.54690469E-05  7.19117426E-05
1.19524670E-01  1.66901192E-04  7.10062080E-05
1.19810272E-01  3.07730298E-06  7.12075380E-05
1.20095875E-01  1.64044403E-05  7.10255012E-05
1.20381477E-01  1.30350776E-04  7.04536624E-05
1.20667080E-01  -5.68786037E-06  7.07314935E-05
1.20952682E-01  5.37118025E-05  6.92397535E-05
1.21238285E-01  2.64983882E-06  7.01849186E-05
1.21523887E-01  1.94091459E-05  6.96301900E-05
1.21809490E-01  5.14715934E-05  6.93991189E-05
1.22095093E-01  1.33624919E-04  6.97852995E-05
1.22380695E-01  -2.58528698E-05  6.89342528E-05
1.22666298E-01  1.27541713E-05  6.89358659E-05
1.22951900E-01  1.15793665E-04  6.84432656E-05
1.23237503E-01  1.15823630E-04  6.88548167E-05
1.23523105E-01  2.70276931E-05  6.84155881E-05
1.23808708E-01  4.26843568E-05  6.85390075E-05
1.24094310E-01  -2.75380276E-05  6.88536793E-05
1.24379913E-01  5.42723585E-05  6.78960598E-05
1.24665516E-01  8.33613206E-05  6.79963534E-05
1.24951118E-01  6.24239650E-05  6.82471430E-05
1.25236721E-01  -4.15080383E-05  6.83172997E-05
1.25522323E-01  3.37389105E-05  6.84818977E-05
1.25807926E-01  9.07704463E-05  6.75488764E-05
1.26093528E-01  4.34247772E-05  6.81426786E-05
1.26379131E-01  -3.00291259E-05  6.75868529E-05
1.26664733E-01  3.76909805E-05  6.95753397E-05
1.26950336E-01  -4.71417611E-05  7.08267587E-05
1.27235939E-01  3.68203401E-05  7.13450559E-05
1.27521541E-01  1.41983128E-05  7.28977784E-05
1.27807144E-01  7.63095442E-05  7.23295240E-05
1.28092746E-01  2.73826127E-05  7.34909629E-05
1.28378349E-01  -2.72263620E-05  7.35497785E-05
1.28663951E-01  3.88830348E-05  7.40851510E-05
1.28949554E-01  -1.14685497E-04  7.47722965E-05
1.29235156E-01  9.26054828E-05  7.46434206E-05
1.29520759E-01  1.27608481E-04  7.47549665E-05
1.29806362E-01  3.24105641E-05  7.49514721E-05
1.30091964E-01  7.61507492E-05  7.47308719E-05
1.30377567E-01  1.35474171E-04  7.59139774E-05
1.30663169E-01  3.53359795E-05  7.48834640E-05
1.30948772E-01  1.86502770E-04  7.54537857E-05
1.31234374E-01  2.13976581E-05  7.42318023E-05
1.31519977E-01  1.10645610E-04  7.54866723E-05
1.31805579E-01  6.33614467E-06  7.56338385E-05
1.32091182E-01  2.77521092E-05  7.56646156E-05
1.32376785E-01  2.55247494E-07  7.68493045E-05
1.32662387E-01  5.09796427E-05  7.57660339E-05
1.32947990E-01  2.56732315E-05  7.63436179E-05
1.33233592E-01  1.20549335E-05  7.61996859E-05
1.33519195E-01  -6.02912289E-05  7.47862085E-05
1.33804797E-01  4.25800580E-05  7.33990547E-05
1.34090400E-01  -1.06687072E-04  7.15147769E-05
1.34376002E-01  1.16450664E-04  7.19028855E-05
1.34661605E-01  -5.17608450E-05  7.06788999E-05
1.34947208E-01  1.44773115E-04  7.05790118E-05
1.35232810E-01  1.25328010E-04  7.04299949E-05
1.35518413E-01  -4.64833942E-05  6.93929964E-05
1.35804015E-01  7.16344143E-05  6.88622702E-05
1.36089618E-01  8.82606907E-05  6.86687718E-05
1.36375220E-01  1.47686087E-04  6.87793074E-05
1.36660823E-01  2.62806383E-05  6.83780845E-05
1.36946425E-01  -6.36265470E-05  6.80949076E-05
1.37232028E-01  9.36938694E-06  6.82511569E-05
1.37517631E-01  -9.11496920E-06  6.78218116E-05
1.37803233E-01  7.16993108E-05  6.81266748E-05
1.38088836E-01  1.04470939E-04  6.74641520E-05
1.38374438E-01  -3.56187158E-05  6.76428293E-05
1.38660041E-01  1.15875632E-04  6.76597392E-05
1.38945643E-01  2.42022969E-05  6.73524880E-05
1.39231246E-01  -2.62620478E-05  6.75512869E-05
1.39516848E-01  1.62164900E-05  6.71749601E-05
1.39802451E-01  -4.82832532E-05  6.66597551E-05
1.40088054E-01  -7.16207032E-05  6.71697487E-05
1.40373656E-01  5.21327442E-05  6.69370174E-05
1.40659259E-01  -5.26328122E-05  6.69764818E-05
1.40944861E-01  2.68311236E-05  6.63699269E-05
1.41230464E-01  2.08291877E-04  6.69837827E-05
1.41516066E-01  3.29236931E-05  6.65756583E-05
1.41801669E-01  4.29583683E-05  6.64410754E-05
1.42087271E-01  2.30976664E-05  6.66323185E-05
1.42372874E-01  -7.42168682E-05  6.56417236E-05
1.42658477E-01  -4.55743549E-05  6.64718836E-05
1.42944079E-01  1.33354246E-04  6.62617158E-05
1.43229682E-01  3.03349586E-05  6.59795776E-05
1.43515284E-01  -1.75398244E-05  6.64064578E-05
1.43800887E-01  3.11152926E-06  6.55667082E-05
1.44086489E-01  5.55795004E-05  6.60678676E-05
1.44372092E-01  5.82809591E-05  6.54276628E-05
1.44657694E-01  -4.56309868E-06  6.57692033E-05
1.44943297E-01  -6.57379517E-05  6.54227465E-05
1.45228900E-01  -1.32095421E-04  6.52062670E-05
1.45514502E-01  6.74344148E-05  6.60237235E-05
1.45800105E-01  3.45398102E-05  6.48111413E-05
1.46085707E-01  -6.06943735E-05  6.57017820E-05
1.46371310E-01  -3.86586013E-05  6.54394388E-05
1.46656912E-01  -4.76237249E-07  6.51704425E-05
1.46942515E-01  -8.05945858E-05  6.51078678E-05
1.47228117E-01  5.22646581E-05  6.44378546E-05
1.47513720E-01  9.92143011E-06  6.51498996E-05
1.47799323E-01  -8.18641669E-05  6.50896987E-05
1.48084925E-01  4.82122114E-05  6.47546333E-05
1.48370528E-01  9.66716303E-05  6.50374511E-05
1.48656130E-01  3.39998429E-05  6.46279916E-05
1.48941733E-01  2.93627222E-05  6.49915674E-05
